                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8672,                 3.7058,                 4.2459,                0.00449,                      1,                0.01275,                0.00272,                 2.4847,                  3.766,                 4.1588,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.7589,                  3.771,                 4.2059,                0.00451,                      1,                0.00985,                0.00298,                 2.4846,                 3.7651,                 4.1587,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 3.0461,                 3.7445,                 4.2453,                0.00473,                      1,                0.00841,                0.00269,                 2.4844,                 3.7648,                 4.1584,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                 2.7522,                 3.7567,                 4.2308,                0.00441,                      1,                 0.0102,                0.00298,                 2.4842,                 3.7652,                 4.1581,             0.00011921,             0.00011921,             0.00011921
                      5,                  2.957,                 3.6571,                 4.2448,                0.00463,                      1,                0.00818,                0.00245,                 2.4839,                 3.7663,                 4.1577,             0.00014436,             0.00014436,             0.00014436
                      6,                 2.9048,                 3.6158,                 4.2258,                0.00454,                      1,                0.00667,                0.00225,                 2.4836,                 3.7676,                 4.1573,             0.00016555,             0.00016555,             0.00016555
                      7,                 2.8717,                 3.6271,                 4.2224,                0.00459,                      1,                0.00798,                0.00236,                 2.4833,                 3.7688,                 4.1569,             0.00018278,             0.00018278,             0.00018278
                      8,                 3.0528,                 3.7048,                 4.2662,                0.00453,                      1,                0.00572,                0.00191,                 2.4827,                 3.7698,                 4.1565,             0.00019605,             0.00019605,             0.00019605
                      9,                 2.9605,                 3.5474,                 4.2302,                0.00463,                      1,                0.00554,                0.00204,                 2.4824,                 3.7699,                 4.1563,             0.00020536,             0.00020536,             0.00020536
                     10,                 2.7761,                 3.5314,                 4.1763,                0.00461,                      1,                0.00644,                0.00216,                 2.4818,                 3.7702,                 4.1561,             0.00021071,             0.00021071,             0.00021071
                     11,                 2.3684,                  4.059,                 4.1759,                0.00466,                      1,                0.00663,                0.00217,                 2.4812,                 3.7698,                  4.156,              0.0002121,              0.0002121,              0.0002121
                     12,                 2.3484,                 4.0342,                 4.2073,                0.00465,                      1,                0.00637,                0.00207,                 2.4805,                 3.7689,                 4.1559,             0.00020953,             0.00020953,             0.00020953
                     13,                 2.5222,                 4.0829,                 4.2189,                0.00466,                      1,                 0.0066,                0.00212,                 2.4797,                 3.7675,                 4.1559,               0.000203,               0.000203,               0.000203
                     14,                 2.4972,                 4.1794,                 4.1447,                0.00463,                      1,                0.00615,                0.00209,                  2.479,                 3.7662,                 4.1561,             0.00019251,             0.00019251,             0.00019251
                     15,                  2.376,                 4.0473,                 4.1251,                0.00461,                      1,                0.10094,                 0.0116,                 2.4781,                 3.7647,                 4.1563,             0.00017806,             0.00017806,             0.00017806
                     16,                  2.375,                 4.0343,                 4.0962,                0.00457,                      1,                0.05305,                0.00673,                 2.4773,                  3.763,                 4.1566,             0.00015965,             0.00015965,             0.00015965
                     17,                  2.285,                 3.9519,                 4.0725,                0.00458,                      1,                0.10042,                0.01151,                 2.4765,                 3.7609,                  4.157,             0.00013728,             0.00013728,             0.00013728
                     18,                  2.499,                 3.7943,                 4.1384,                 0.0046,                      1,                0.02471,                0.00393,                 2.4757,                 3.7593,                 4.1574,             0.00011095,             0.00011095,             0.00011095
                     19,                 2.4061,                 3.9489,                 4.0931,                0.00461,                      1,                0.01752,                0.00327,                 2.4748,                 3.7579,                  4.158,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                 2.2563,                 3.9139,                 4.1006,                0.00461,                      1,                0.03753,                0.00519,                 2.4739,                 3.7569,                 4.1585,              4.641e-05,              4.641e-05,              4.641e-05
